id_new;IdCase;msgFlow;concept:name;msgInstanceId;msgType;org:group;time:timestamp;eventType
00;case_1;Offer;Check Travel Offer;Offer_0;receive;Customer;2021-06-16 10:56:52.323000+02:00;
00;case_1;Offer;Check Travel Offer;Offer_0;receive;Customer;2021-06-16 10:56:53.441000+02:00;
00;case_1;Offer;Check Travel Offer;Offer_0;receive;Customer;2021-06-16 10:57:01.315000+02:00;
00;case_1;Travel;Book Travel;Travel_1;send;Customer;2021-06-16 10:57:14.545000+02:00;
00;case_1;Travel;Book Received;Travel_1;send;Customer;2021-06-16 10:57:14.545000+02:00;
00;case_1;Payment;Pay Travel;Payment_2;send;Customer;2021-06-16 10:57:20.004000+02:00;
00;case_1;Payment;Payment Received;Payment_2;send;Customer;2021-06-16 10:57:20.004000+02:00;
00;case_1;Ticket;Ticket Received;Ticket_4;receive;Customer;2021-06-16 10:57:35.932000+02:00;notification
00;case_1;Confirmation;Booking Confirmed;Confirmation_3;receive;Customer;2021-06-16 10:57:38.345000+02:00;notification
11;case_10;Offer;Check Travel Offer;Offer_15;receive;Customer;2021-06-16 11:00:25.886000+02:00;
11;case_10;Offer;Check Travel Offer;Offer_15;receive;Customer;2021-06-16 11:00:27.820000+02:00;
11;case_10;Travel;Book Travel;Travel_16;send;Customer;2021-06-16 11:00:32.980000+02:00;
11;case_10;Travel;Book Received;Travel_16;send;Customer;2021-06-16 11:00:32.980000+02:00;
11;case_10;Payment;Pay Travel;Payment_17;send;Customer;2021-06-16 11:00:43.991000+02:00;
11;case_10;Payment;Payment Received;Payment_17;send;Customer;2021-06-16 11:00:43.991000+02:00;
11;case_10;Ticket;Ticket Received;Ticket_19;receive;Customer;2021-06-16 11:01:20.959000+02:00;notification
11;case_10;Confirmation;Booking Confirmed;Confirmation_18;receive;Customer;2021-06-16 11:01:33.371000+02:00;notification
22;case_100;Offer;Check Travel Offer;Offer_165;receive;Customer;2021-06-16 11:34:32.533000+02:00;
22;case_100;Offer;Check Travel Offer;Offer_165;receive;Customer;2021-06-16 11:34:39.190000+02:00;
22;case_100;Offer;Check Travel Offer;Offer_165;receive;Customer;2021-06-16 11:34:53.449000+02:00;
22;case_100;Offer;Check Travel Offer;Offer_165;receive;Customer;2021-06-16 11:35:06.854000+02:00;
22;case_100;Offer;Check Travel Offer;Offer_165;receive;Customer;2021-06-16 11:35:14.749000+02:00;
22;case_100;Travel;Book Travel;Travel_166;send;Customer;2021-06-16 11:35:20.445000+02:00;
22;case_100;Travel;Book Received;Travel_166;send;Customer;2021-06-16 11:35:20.445000+02:00;
22;case_100;Payment;Pay Travel;Payment_167;send;Customer;2021-06-16 11:35:34.840000+02:00;
22;case_100;Payment;Payment Received;Payment_167;send;Customer;2021-06-16 11:35:34.840000+02:00;
22;case_100;Ticket;Ticket Received;Ticket_169;receive;Customer;2021-06-16 11:35:56.267000+02:00;notification
22;case_100;Confirmation;Booking Confirmed;Confirmation_168;receive;Customer;2021-06-16 11:36:00.671000+02:00;notification
33;case_103;Offer;Check Travel Offer;Offer_170;receive;Customer;2021-06-16 11:36:06.539000+02:00;
33;case_103;Offer;Check Travel Offer;Offer_170;receive;Customer;2021-06-16 11:36:18.821000+02:00;
33;case_103;Travel;Book Travel;Travel_171;send;Customer;2021-06-16 11:36:23.051000+02:00;
33;case_103;Travel;Book Received;Travel_171;send;Customer;2021-06-16 11:36:23.051000+02:00;
33;case_103;Payment;Pay Travel;Payment_172;send;Customer;2021-06-16 11:36:30.191000+02:00;
33;case_103;Payment;Payment Received;Payment_172;send;Customer;2021-06-16 11:36:30.191000+02:00;
33;case_103;Ticket;Ticket Received;Ticket_174;receive;Customer;2021-06-16 11:37:00.182000+02:00;notification
33;case_103;Confirmation;Booking Confirmed;Confirmation_173;receive;Customer;2021-06-16 11:37:01.935000+02:00;notification
44;case_106;Offer;Check Travel Offer;Offer_175;receive;Customer;2021-06-16 11:37:07.906000+02:00;
44;case_106;Travel;Book Travel;Travel_176;send;Customer;2021-06-16 11:37:08.097000+02:00;
44;case_106;Travel;Book Received;Travel_176;send;Customer;2021-06-16 11:37:08.097000+02:00;
44;case_106;Payment;Pay Travel;Payment_177;send;Customer;2021-06-16 11:37:35.537000+02:00;
44;case_106;Payment;Payment Received;Payment_177;send;Customer;2021-06-16 11:37:35.537000+02:00;
44;case_106;Ticket;Ticket Received;Ticket_179;receive;Customer;2021-06-16 11:38:15.677000+02:00;notification
44;case_106;Confirmation;Booking Confirmed;Confirmation_178;receive;Customer;2021-06-16 11:38:18.297000+02:00;notification
55;case_109;Offer;Check Travel Offer;Offer_180;receive;Customer;2021-06-16 11:38:26.735000+02:00;
55;case_109;Offer;Check Travel Offer;Offer_180;receive;Customer;2021-06-16 11:38:31.937000+02:00;
55;case_109;Offer;Check Travel Offer;Offer_180;receive;Customer;2021-06-16 11:38:52.023000+02:00;
55;case_109;Travel;Book Travel;Travel_181;send;Customer;2021-06-16 11:38:54.751000+02:00;
55;case_109;Travel;Book Received;Travel_181;send;Customer;2021-06-16 11:38:54.751000+02:00;
55;case_109;Payment;Pay Travel;Payment_182;send;Customer;2021-06-16 11:39:07.478000+02:00;
55;case_109;Payment;Payment Received;Payment_182;send;Customer;2021-06-16 11:39:07.478000+02:00;
55;case_109;Ticket;Ticket Received;Ticket_184;receive;Customer;2021-06-16 11:39:27.880000+02:00;notification
55;case_109;Confirmation;Booking Confirmed;Confirmation_183;receive;Customer;2021-06-16 11:39:32.705000+02:00;notification
66;case_112;Offer;Check Travel Offer;Offer_185;receive;Customer;2021-06-16 11:39:36.064000+02:00;
66;case_112;Travel;Book Travel;Travel_186;send;Customer;2021-06-16 11:39:42.371000+02:00;
66;case_112;Travel;Book Received;Travel_186;send;Customer;2021-06-16 11:39:42.371000+02:00;
66;case_112;Payment;Pay Travel;Payment_187;send;Customer;2021-06-16 11:39:48.848000+02:00;
