id_new;IdCase;concept:name;org:group;msgFlow;time:timestamp;msgType;msgInstanceId
00;case_1;Set Up Thermostat;User;termostat_on;2021-06-17 16:34:06.564000+02:00;send;termostat_on_0
00;case_1;Power On;User;termostat_on;2021-06-17 16:34:06.564000+02:00;send;termostat_on_0
00;case_1;Switch Off Thermostat;User;termostat_off;2021-06-17 16:34:20.768000+02:00;send;termostat_off_2
11;case_101;Set Up Thermostat;User;termostat_on;2021-06-17 17:07:29.947000+02:00;send;termostat_on_122
11;case_101;Power On;User;termostat_on;2021-06-17 17:07:29.947000+02:00;send;termostat_on_122
11;case_101;Check Environment Temperature;User;temperature;2021-06-17 17:08:22.838000+02:00;receive;temperature_125
11;case_101;Check Environment Temperature;User;temperature;2021-06-17 17:08:49.227000+02:00;receive;temperature_125
11;case_101;Switch Off Thermostat;User;termostat_off;2021-06-17 17:09:05.940000+02:00;send;termostat_off_126
22;case_105;Set Up Thermostat;User;termostat_on;2021-06-17 17:09:37.172000+02:00;send;termostat_on_128
22;case_105;Power On;User;termostat_on;2021-06-17 17:09:37.172000+02:00;send;termostat_on_128
22;case_105;Switch Off Thermostat;User;termostat_off;2021-06-17 17:09:51.802000+02:00;send;termostat_off_129
33;case_109;Set Up Thermostat;User;termostat_on;2021-06-17 17:09:58.100000+02:00;send;termostat_on_131
33;case_109;Power On;User;termostat_on;2021-06-17 17:09:58.100000+02:00;send;termostat_on_131
33;case_109;Check Environment Temperature;User;temperature;2021-06-17 17:10:52.458000+02:00;receive;temperature_134
33;case_109;Switch Off Thermostat;User;termostat_off;2021-06-17 17:11:13.742000+02:00;send;termostat_off_135
44;case_113;Set Up Thermostat;User;termostat_on;2021-06-17 17:11:26.722000+02:00;send;termostat_on_137
44;case_113;Power On;User;termostat_on;2021-06-17 17:11:26.722000+02:00;send;termostat_on_137
44;case_113;Switch Off Thermostat;User;termostat_off;2021-06-17 17:11:39.071000+02:00;send;termostat_off_139
55;case_117;Set Up Thermostat;User;termostat_on;2021-06-17 17:12:19.244000+02:00;send;termostat_on_141
55;case_117;Power On;User;termostat_on;2021-06-17 17:12:19.244000+02:00;send;termostat_on_141
55;case_117;Check Environment Temperature;User;temperature;2021-06-17 17:13:03.706000+02:00;receive;temperature_144
55;case_117;Check Environment Temperature;User;temperature;2021-06-17 17:13:36.604000+02:00;receive;temperature_144
55;case_117;Check Environment Temperature;User;temperature;2021-06-17 17:14:45.614000+02:00;receive;temperature_144
55;case_117;Switch Off Thermostat;User;termostat_off;2021-06-17 17:14:56.721000+02:00;send;termostat_off_145
66;case_121;Set Up Thermostat;User;termostat_on;2021-06-17 17:15:23.494000+02:00;send;termostat_on_147
66;case_121;Power On;User;termostat_on;2021-06-17 17:15:23.494000+02:00;send;termostat_on_147
66;case_121;Switch Off Thermostat;User;termostat_off;2021-06-17 17:15:41.210000+02:00;send;termostat_off_149
77;case_125;Set Up Thermostat;User;termostat_on;2021-06-17 17:16:15.759000+02:00;send;termostat_on_152
77;case_125;Power On;User;termostat_on;2021-06-17 17:16:15.759000+02:00;send;termostat_on_152
77;case_125;Check Environment Temperature;User;temperature;2021-06-17 17:17:02.592000+02:00;receive;temperature_155
77;case_125;Switch Off Thermostat;User;termostat_off;2021-06-17 17:17:47.149000+02:00;send;termostat_off_156
88;case_129;Set Up Thermostat;User;termostat_on;2021-06-17 17:18:16.659000+02:00;send;termostat_on_158
88;case_129;Power On;User;termostat_on;2021-06-17 17:18:16.659000+02:00;send;termostat_on_158
88;case_129;Check Environment Temperature;User;temperature;2021-06-17 17:18:48.138000+02:00;receive;temperature_161
88;case_129;Switch Off Thermostat;User;termostat_off;2021-06-17 17:19:05.115000+02:00;send;termostat_off_162
99;case_13;Set Up Thermostat;User;termostat_on;2021-06-17 16:36:58.389000+02:00;send;termostat_on_14
99;case_13;Power On;User;termostat_on;2021-06-17 16:36:58.389000+02:00;send;termostat_on_14
99;case_13;Switch Off Thermostat;User;termostat_off;2021-06-17 16:37:10.769000+02:00;send;termostat_off_16
1010;case_133;Set Up Thermostat;User;termostat_on;2021-06-17 17:19:31.692000+02:00;send;termostat_on_164
1010;case_133;Power On;User;termostat_on;2021-06-17 17:19:31.692000+02:00;send;termostat_on_164
1010;case_133;Switch Off Thermostat;User;termostat_off;2021-06-17 17:19:46.267000+02:00;send;termostat_off_165
1111;case_137;Set Up Thermostat;User;termostat_on;2021-06-17 17:20:00.509000+02:00;send;termostat_on_167
1111;case_137;Power On;User;termostat_on;2021-06-17 17:20:00.509000+02:00;send;termostat_on_167
1111;case_137;Switch Off Thermostat;User;termostat_off;2021-06-17 17:20:13.492000+02:00;send;termostat_off_168
1212;case_141;Set Up Thermostat;User;termostat_on;2021-06-17 17:20:24.235000+02:00;send;termostat_on_170
1212;case_141;Power On;User;termostat_on;2021-06-17 17:20:24.235000+02:00;send;termostat_on_170
1212;case_141;Check Environment Temperature;User;temperature;2021-06-17 17:21:03.397000+02:00;receive;temperature_173
1212;case_141;Check Environment Temperature;User;temperature;2021-06-17 17:21:26.234000+02:00;receive;temperature_173
1212;case_141;Switch Off Thermostat;User;termostat_off;2021-06-17 17:21:43.178000+02:00;send;termostat_off_174
1313;case_145;Set Up Thermostat;User;termostat_on;2021-06-17 17:22:27.648000+02:00;send;termostat_on_176
1313;case_145;Power On;User;termostat_on;2021-06-17 17:22:27.648000+02:00;send;termostat_on_176
1313;case_145;Switch Off Thermostat;User;termostat_off;2021-06-17 17:22:38.805000+02:00;send;termostat_off_178
1414;case_149;Set Up Thermostat;User;termostat_on;2021-06-17 17:23:15.108000+02:00;send;termostat_on_180
1414;case_149;Power On;User;termostat_on;2021-06-17 17:23:15.108000+02:00;send;termostat_on_180
1414;case_149;Switch Off Thermostat;User;termostat_off;2021-06-17 17:23:20.755000+02:00;send;termostat_off_182
1515;case_153;Set Up Thermostat;User;termostat_on;2021-06-17 17:24:06.376000+02:00;send;termostat_on_184
1515;case_153;Power On;User;termostat_on;2021-06-17 17:24:06.376000+02:00;send;termostat_on_184
1515;case_153;Switch Off Thermostat;User;termostat_off;2021-06-17 17:24:46.104000+02:00;send;termostat_off_186
1616;case_157;Set Up Thermostat;User;termostat_on;2021-06-17 17:25:27.365000+02:00;send;termostat_on_189
1616;case_157;Power On;User;termostat_on;2021-06-17 17:25:27.365000+02:00;send;termostat_on_189
1616;case_157;Check Environment Temperature;User;temperature;2021-06-17 17:26:10.454000+02:00;receive;temperature_192
1616;case_157;Check Environment Temperature;User;temperature;2021-06-17 17:26:57.717000+02:00;receive;temperature_192
1616;case_157;Switch Off Thermostat;User;termostat_off;2021-06-17 17:27:33.698000+02:00;send;termostat_off_193
1717;case_161;Set Up Thermostat;User;termostat_on;2021-06-17 17:28:29.766000+02:00;send;termostat_on_195
1717;case_161;Power On;User;termostat_on;2021-06-17 17:28:29.766000+02:00;send;termostat_on_195
1717;case_161;Check Environment Temperature;User;temperature;2021-06-17 17:29:06.837000+02:00;receive;temperature_198
1717;case_161;Switch Off Thermostat;User;termostat_off;2021-06-17 17:29:28.769000+02:00;send;termostat_off_199
1818;case_165;Set Up Thermostat;User;termostat_on;2021-06-17 17:30:25.633000+02:00;send;termostat_on_201
1818;case_165;Power On;User;termostat_on;2021-06-17 17:30:25.633000+02:00;send;termostat_on_201
1818;case_165;Switch Off Thermostat;User;termostat_off;2021-06-17 17:30:34.734000+02:00;send;termostat_off_202
1919;case_169;Set Up Thermostat;User;termostat_on;2021-06-17 17:30:41.875000+02:00;send;termostat_on_204
1919;case_169;Power On;User;termostat_on;2021-06-17 17:30:41.875000+02:00;send;termostat_on_204
1919;case_169;Switch Off Thermostat;User;termostat_off;2021-06-17 17:31:08.883000+02:00;send;termostat_off_206
2020;case_17;Set Up Thermostat;User;termostat_on;2021-06-17 16:37:39.788000+02:00;send;termostat_on_18
2020;case_17;Power On;User;termostat_on;2021-06-17 16:37:39.788000+02:00;send;termostat_on_18
2020;case_17;Check Environment Temperature;User;temperature;2021-06-17 16:38:18.469000+02:00;receive;temperature_21
2020;case_17;Switch Off Thermostat;User;termostat_off;2021-06-17 16:38:34.797000+02:00;send;termostat_off_22
2121;case_173;Set Up Thermostat;User;termostat_on;2021-06-17 17:31:26.212000+02:00;send;termostat_on_208
2121;case_173;Power On;User;termostat_on;2021-06-17 17:31:26.212000+02:00;send;termostat_on_208
2121;case_173;Switch Off Thermostat;User;termostat_off;2021-06-17 17:31:37.362000+02:00;send;termostat_off_210
2222;case_177;Set Up Thermostat;User;termostat_on;2021-06-17 17:32:10.787000+02:00;send;termostat_on_212
2222;case_177;Power On;User;termostat_on;2021-06-17 17:32:10.787000+02:00;send;termostat_on_212
2222;case_177;Check Environment Temperature;User;temperature;2021-06-17 17:32:56.058000+02:00;receive;temperature_215
2222;case_177;Check Environment Temperature;User;temperature;2021-06-17 17:33:38.571000+02:00;receive;temperature_215
2222;case_177;Switch Off Thermostat;User;termostat_off;2021-06-17 17:34:18.386000+02:00;send;termostat_off_216
2323;case_181;Set Up Thermostat;User;termostat_on;2021-06-17 17:34:54.312000+02:00;send;termostat_on_218
2323;case_181;Power On;User;termostat_on;2021-06-17 17:34:54.312000+02:00;send;termostat_on_218
2323;case_181;Switch Off Thermostat;User;termostat_off;2021-06-17 17:35:13.810000+02:00;send;termostat_off_220
2424;case_185;Set Up Thermostat;User;termostat_on;2021-06-17 17:35:29.865000+02:00;send;termostat_on_222
2424;case_185;Power On;User;termostat_on;2021-06-17 17:35:29.865000+02:00;send;termostat_on_222
2424;case_185;Check Environment Temperature;User;temperature;2021-06-17 17:36:05.355000+02:00;receive;temperature_225
2424;case_185;Check Environment Temperature;User;temperature;2021-06-17 17:36:44.586000+02:00;receive;temperature_225
2424;case_185;Check Environment Temperature;User;temperature;2021-06-17 17:37:11.408000+02:00;receive;temperature_225
2424;case_185;Switch Off Thermostat;User;termostat_off;2021-06-17 17:37:29.139000+02:00;send;termostat_off_226
2525;case_189;Set Up Thermostat;User;termostat_on;2021-06-17 17:38:13.768000+02:00;send;termostat_on_228
2525;case_189;Power On;User;termostat_on;2021-06-17 17:38:13.768000+02:00;send;termostat_on_228
2525;case_189;Check Environment Temperature;User;temperature;2021-06-17 17:39:09.692000+02:00;receive;temperature_231
2525;case_189;Check Environment Temperature;User;temperature;2021-06-17 17:40:05.856000+02:00;receive;temperature_231
2525;case_189;Check Environment Temperature;User;temperature;2021-06-17 17:40:26.662000+02:00;receive;temperature_231
2525;case_189;Switch Off Thermostat;User;termostat_off;2021-06-17 17:41:02.689000+02:00;send;termostat_off_232
2626;case_193;Set Up Thermostat;User;termostat_on;2021-06-17 17:41:44.314000+02:00;send;termostat_on_234
2626;case_193;Power On;User;termostat_on;2021-06-17 17:41:44.314000+02:00;send;termostat_on_234
2626;case_193;Switch Off Thermostat;User;termostat_off;2021-06-17 17:42:04.052000+02:00;send;termostat_off_236
2727;case_197;Set Up Thermostat;User;termostat_on;2021-06-17 17:42:22.120000+02:00;send;termostat_on_238
2727;case_197;Power On;User;termostat_on;2021-06-17 17:42:22.120000+02:00;send;termostat_on_238
2727;case_197;Switch Off Thermostat;User;termostat_off;2021-06-17 17:42:33.589000+02:00;send;termostat_off_240
