id_new;IdCase;eventType;concept:name;msgType;time:timestamp;msgInstanceId;msgFlow;org:group
00;case_0;start;Receive payment request;receive;2021-06-16 15:45:27.172000+02:00;request_0;request;Bank
00;case_0;;Process payment information;;2021-06-16 15:45:30.659000+02:00;;;Bank
00;case_0;;Change account;send;2021-06-16 15:45:32.022000+02:00;account_1;account;Bank
00;case_0;;Payment confirmed;send;2021-06-16 15:45:32.022000+02:00;account_1;account;Bank
11;case_100;start;Receive payment request;receive;2021-06-16 16:15:53.875000+02:00;request_100;request;Bank
11;case_100;;Process payment information;;2021-06-16 16:15:57.680000+02:00;;;Bank
11;case_100;;Change account;send;2021-06-16 16:16:07.196000+02:00;account_101;account;Bank
11;case_100;;Payment confirmed;send;2021-06-16 16:16:07.196000+02:00;account_101;account;Bank
22;case_104;start;Receive payment request;receive;2021-06-16 16:17:18.001000+02:00;request_104;request;Bank
22;case_104;;Process payment information;;2021-06-16 16:17:22.620000+02:00;;;Bank
22;case_104;;Change account;send;2021-06-16 16:17:24.967000+02:00;account_105;account;Bank
22;case_104;;Payment confirmed;send;2021-06-16 16:17:24.967000+02:00;account_105;account;Bank
33;case_108;start;Receive payment request;receive;2021-06-16 16:18:20.877000+02:00;request_108;request;Bank
33;case_108;;Process payment information;;2021-06-16 16:18:27.756000+02:00;;;Bank
33;case_108;;Change account;send;2021-06-16 16:18:28.701000+02:00;account_109;account;Bank
33;case_108;;Payment confirmed;send;2021-06-16 16:18:28.701000+02:00;account_109;account;Bank
44;case_112;start;Receive payment request;receive;2021-06-16 16:19:16.717000+02:00;request_112;request;Bank
44;case_112;;Process payment information;;2021-06-16 16:19:19.677000+02:00;;;Bank
44;case_112;;Change account;send;2021-06-16 16:19:20.064000+02:00;account_113;account;Bank
44;case_112;;Payment confirmed;send;2021-06-16 16:19:20.064000+02:00;account_113;account;Bank
55;case_116;start;Receive payment request;receive;2021-06-16 16:20:21.102000+02:00;request_116;request;Bank
55;case_116;;Process payment information;;2021-06-16 16:20:23.030000+02:00;;;Bank
55;case_116;;Change account;send;2021-06-16 16:20:24.982000+02:00;account_117;account;Bank
55;case_116;;Payment confirmed;send;2021-06-16 16:20:24.982000+02:00;account_117;account;Bank
66;case_12;start;Receive payment request;receive;2021-06-16 15:48:57.338000+02:00;request_12;request;Bank
66;case_12;;Process payment information;;2021-06-16 15:49:00.464000+02:00;;;Bank
66;case_12;;Change account;send;2021-06-16 15:49:05.128000+02:00;account_13;account;Bank
66;case_12;;Payment confirmed;send;2021-06-16 15:49:05.128000+02:00;account_13;account;Bank
77;case_120;start;Receive payment request;receive;2021-06-16 16:21:20.129000+02:00;request_120;request;Bank
77;case_120;;Process payment information;;2021-06-16 16:21:22.352000+02:00;;;Bank
77;case_120;;Change account;send;2021-06-16 16:21:28.655000+02:00;account_121;account;Bank
77;case_120;;Payment confirmed;send;2021-06-16 16:21:28.655000+02:00;account_121;account;Bank
88;case_124;start;Receive payment request;receive;2021-06-16 16:22:45.671000+02:00;request_124;request;Bank
88;case_124;;Process payment information;;2021-06-16 16:22:50.622000+02:00;;;Bank
88;case_124;;Change account;send;2021-06-16 16:22:51.192000+02:00;account_125;account;Bank
88;case_124;;Payment confirmed;send;2021-06-16 16:22:51.192000+02:00;account_125;account;Bank
99;case_128;start;Receive payment request;receive;2021-06-16 16:24:18.057000+02:00;request_128;request;Bank
99;case_128;;Process payment information;;2021-06-16 16:24:21.422000+02:00;;;Bank
99;case_128;;Change account;send;2021-06-16 16:24:24.175000+02:00;account_129;account;Bank
99;case_128;;Payment confirmed;send;2021-06-16 16:24:24.175000+02:00;account_129;account;Bank
1010;case_132;start;Receive payment request;receive;2021-06-16 16:25:36.539000+02:00;request_132;request;Bank
1010;case_132;;Process payment information;;2021-06-16 16:25:42.926000+02:00;;;Bank
