id_new;IdCase;time:timestamp;msgInstanceId;msgType;org:group;concept:name;eventType;msgFlow
00;case_1;2021-06-16 15:44:33.458000+02:00;;;Visitor;Decide individual or family ticket;;
00;case_1;2021-06-16 15:44:35.082000+02:00;;;Visitor;Prepare personal information;;
00;case_1;2021-06-16 15:44:35.376000+02:00;info_2;send;Visitor;Send information to the ZooClub department;;info
00;case_1;2021-06-16 15:44:58.258000+02:00;;;Visitor;Wait for card;;
00;case_1;2021-06-16 15:45:46.762000+02:00;card_3;receive;Visitor;Card received?;notification;card
00;case_1;2021-06-16 15:45:47.140000+02:00;;;Visitor;Go home;;
11;case_101;2021-06-16 16:15:08.719000+02:00;;;Visitor;Decide individual or family ticket;;
11;case_101;2021-06-16 16:15:12.703000+02:00;;;Visitor;Prepare family's information;;
11;case_101;2021-06-16 16:15:16.535000+02:00;info_102;send;Visitor;Send information to the ZooClub department;;info
11;case_101;2021-06-16 16:15:24.497000+02:00;;;Visitor;Wait for card;;
11;case_101;2021-06-16 16:16:14.149000+02:00;card_103;receive;Visitor;Card received?;notification;card
11;case_101;2021-06-16 16:16:30.681000+02:00;;;Visitor;Go home;;
22;case_105;2021-06-16 16:16:34.304000+02:00;;;Visitor;Decide individual or family ticket;;
22;case_105;2021-06-16 16:16:36.245000+02:00;;;Visitor;Prepare personal information;;
22;case_105;2021-06-16 16:16:38.462000+02:00;info_106;send;Visitor;Send information to the ZooClub department;;info
22;case_105;2021-06-16 16:16:50.054000+02:00;;;Visitor;Wait for card;;
22;case_105;2021-06-16 16:17:38.896000+02:00;card_107;receive;Visitor;Card received?;notification;card
22;case_105;2021-06-16 16:17:39.855000+02:00;;;Visitor;Go home;;
33;case_109;2021-06-16 16:17:43.392000+02:00;;;Visitor;Decide individual or family ticket;;
33;case_109;2021-06-16 16:17:46.312000+02:00;;;Visitor;Prepare family's information;;
33;case_109;2021-06-16 16:17:47.492000+02:00;info_110;send;Visitor;Send information to the ZooClub department;;info
33;case_109;2021-06-16 16:17:52.419000+02:00;;;Visitor;Wait for card;;
33;case_109;2021-06-16 16:18:39.613000+02:00;card_111;receive;Visitor;Card received?;notification;card
33;case_109;2021-06-16 16:18:40.457000+02:00;;;Visitor;Go home;;
44;case_113;2021-06-16 16:18:43.307000+02:00;;;Visitor;Decide individual or family ticket;;
44;case_113;2021-06-16 16:18:47.128000+02:00;;;Visitor;Prepare family's information;;
44;case_113;2021-06-16 16:18:50.139000+02:00;info_114;send;Visitor;Send information to the ZooClub department;;info
44;case_113;2021-06-16 16:18:51.939000+02:00;;;Visitor;Wait for card;;
44;case_113;2021-06-16 16:19:25.117000+02:00;card_115;receive;Visitor;Card received?;notification;card
44;case_113;2021-06-16 16:19:28.789000+02:00;;;Visitor;Go home;;
55;case_117;2021-06-16 16:19:33.140000+02:00;;;Visitor;Decide individual or family ticket;;
55;case_117;2021-06-16 16:19:34.671000+02:00;;;Visitor;Prepare family's information;;
55;case_117;2021-06-16 16:19:38.343000+02:00;info_118;send;Visitor;Send information to the ZooClub department;;info
55;case_117;2021-06-16 16:20:02.302000+02:00;;;Visitor;Wait for card;;
55;case_117;2021-06-16 16:20:32.599000+02:00;card_119;receive;Visitor;Card received?;notification;card
55;case_117;2021-06-16 16:20:34.440000+02:00;;;Visitor;Go home;;
66;case_121;2021-06-16 16:20:35.516000+02:00;;;Visitor;Decide individual or family ticket;;
66;case_121;2021-06-16 16:20:39.103000+02:00;;;Visitor;Prepare family's information;;
66;case_121;2021-06-16 16:20:41.340000+02:00;info_122;send;Visitor;Send information to the ZooClub department;;info
66;case_121;2021-06-16 16:20:55.108000+02:00;;;Visitor;Wait for card;;
66;case_121;2021-06-16 16:21:43.337000+02:00;card_123;receive;Visitor;Card received?;notification;card
66;case_121;2021-06-16 16:21:47.138000+02:00;;;Visitor;Go home;;
77;case_125;2021-06-16 16:21:48.246000+02:00;;;Visitor;Decide individual or family ticket;;
77;case_125;2021-06-16 16:21:49.438000+02:00;;;Visitor;Prepare family's information;;
77;case_125;2021-06-16 16:21:50.737000+02:00;info_126;send;Visitor;Send information to the ZooClub department;;info
77;case_125;2021-06-16 16:21:59.915000+02:00;;;Visitor;Wait for card;;
77;case_125;2021-06-16 16:23:04.858000+02:00;card_127;receive;Visitor;Card received?;notification;card
77;case_125;2021-06-16 16:23:05.272000+02:00;;;Visitor;Go home;;
88;case_129;2021-06-16 16:23:09.474000+02:00;;;Visitor;Decide individual or family ticket;;
88;case_129;2021-06-16 16:23:12.221000+02:00;;;Visitor;Prepare personal information;;
88;case_129;2021-06-16 16:23:16.072000+02:00;info_130;send;Visitor;Send information to the ZooClub department;;info
88;case_129;2021-06-16 16:24:01.309000+02:00;;;Visitor;Wait for card;;
88;case_129;2021-06-16 16:24:34.070000+02:00;card_131;receive;Visitor;Card received?;notification;card
88;case_129;2021-06-16 16:24:38.526000+02:00;;;Visitor;Go home;;
99;case_13;2021-06-16 15:48:10.913000+02:00;;;Visitor;Decide individual or family ticket;;
99;case_13;2021-06-16 15:48:13.749000+02:00;;;Visitor;Prepare family's information;;
99;case_13;2021-06-16 15:48:17.100000+02:00;info_14;send;Visitor;Send information to the ZooClub department;;info
99;case_13;2021-06-16 15:48:37.065000+02:00;;;Visitor;Wait for card;;
99;case_13;2021-06-16 15:49:21.824000+02:00;card_15;receive;Visitor;Card received?;notification;card
99;case_13;2021-06-16 15:49:27.522000+02:00;;;Visitor;Go home;;
1010;case_133;2021-06-16 16:24:40.124000+02:00;;;Visitor;Decide individual or family ticket;;
1010;case_133;2021-06-16 16:24:42.453000+02:00;;;Visitor;Prepare personal information;;
1010;case_133;2021-06-16 16:24:45.187000+02:00;info_134;send;Visitor;Send information to the ZooClub department;;info
1010;case_133;2021-06-16 16:24:49.448000+02:00;;;Visitor;Wait for card;;
1010;case_133;2021-06-16 16:26:09.211000+02:00;card_135;receive;Visitor;Card received?;notification;card
1010;case_133;2021-06-16 16:26:13.993000+02:00;;;Visitor;Go home;;
1111;case_137;2021-06-16 16:26:15.991000+02:00;;;Visitor;Decide individual or family ticket;;
1111;case_137;2021-06-16 16:26:16.044000+02:00;;;Visitor;Prepare personal information;;
1111;case_137;2021-06-16 16:26:20.599000+02:00;info_138;send;Visitor;Send information to the ZooClub department;;info
1111;case_137;2021-06-16 16:26:24.901000+02:00;;;Visitor;Wait for card;;
1111;case_137;2021-06-16 16:27:17.022000+02:00;card_139;receive;Visitor;Card received?;notification;card
1111;case_137;2021-06-16 16:27:19.907000+02:00;;;Visitor;Go home;;
1212;case_141;2021-06-16 16:27:22.515000+02:00;;;Visitor;Decide individual or family ticket;;
1212;case_141;2021-06-16 16:27:27.388000+02:00;;;Visitor;Prepare family's information;;
1212;case_141;2021-06-16 16:27:32.025000+02:00;info_142;send;Visitor;Send information to the ZooClub department;;info
1212;case_141;2021-06-16 16:27:39.703000+02:00;;;Visitor;Wait for card;;
1212;case_141;2021-06-16 16:28:34.202000+02:00;card_143;receive;Visitor;Card received?;notification;card
1212;case_141;2021-06-16 16:28:40.643000+02:00;;;Visitor;Go home;;
1313;case_145;2021-06-16 16:28:44.453000+02:00;;;Visitor;Decide individual or family ticket;;
1313;case_145;2021-06-16 16:28:46.086000+02:00;;;Visitor;Prepare personal information;;
1313;case_145;2021-06-16 16:28:46.471000+02:00;info_146;send;Visitor;Send information to the ZooClub department;;info
1313;case_145;2021-06-16 16:28:55.474000+02:00;;;Visitor;Wait for card;;
1313;case_145;2021-06-16 16:29:56.148000+02:00;card_147;receive;Visitor;Card received?;notification;card
1313;case_145;2021-06-16 16:30:01.050000+02:00;;;Visitor;Go home;;
1414;case_149;2021-06-16 16:30:02.442000+02:00;;;Visitor;Decide individual or family ticket;;
1414;case_149;2021-06-16 16:30:06.457000+02:00;;;Visitor;Prepare personal information;;
1414;case_149;2021-06-16 16:30:08.131000+02:00;info_150;send;Visitor;Send information to the ZooClub department;;info
1414;case_149;2021-06-16 16:30:13.352000+02:00;;;Visitor;Wait for card;;
1414;case_149;2021-06-16 16:31:15.181000+02:00;card_151;receive;Visitor;Card received?;notification;card
1414;case_149;2021-06-16 16:31:15.522000+02:00;;;Visitor;Go home;;
1515;case_153;2021-06-16 16:31:17.319000+02:00;;;Visitor;Decide individual or family ticket;;
1515;case_153;2021-06-16 16:31:18.477000+02:00;;;Visitor;Prepare family's information;;
1515;case_153;2021-06-16 16:31:22.008000+02:00;info_154;send;Visitor;Send information to the ZooClub department;;info
1515;case_153;2021-06-16 16:31:25.209000+02:00;;;Visitor;Wait for card;;
1515;case_153;2021-06-16 16:32:15.357000+02:00;card_155;receive;Visitor;Card received?;notification;card
1515;case_153;2021-06-16 16:32:22.943000+02:00;;;Visitor;Go home;;
1616;case_157;2021-06-16 16:32:23.604000+02:00;;;Visitor;Decide individual or family ticket;;
1616;case_157;2021-06-16 16:32:25.358000+02:00;;;Visitor;Prepare family's information;;
1616;case_157;2021-06-16 16:32:28.223000+02:00;info_158;send;Visitor;Send information to the ZooClub department;;info
1616;case_157;2021-06-16 16:32:33.671000+02:00;;;Visitor;Wait for card;;
1616;case_157;2021-06-16 16:33:16.758000+02:00;card_159;receive;Visitor;Card received?;notification;card
1616;case_157;2021-06-16 16:33:20.306000+02:00;;;Visitor;Go home;;
1717;case_161;2021-06-16 16:33:21.462000+02:00;;;Visitor;Decide individual or family ticket;;
1717;case_161;2021-06-16 16:33:22.731000+02:00;;;Visitor;Prepare personal information;;
1717;case_161;2021-06-16 16:33:24.639000+02:00;info_162;send;Visitor;Send information to the ZooClub department;;info
1717;case_161;2021-06-16 16:33:32.846000+02:00;;;Visitor;Wait for card;;
1717;case_161;2021-06-16 16:34:22.672000+02:00;card_163;receive;Visitor;Card received?;notification;card
1717;case_161;2021-06-16 16:34:27.609000+02:00;;;Visitor;Go home;;
1818;case_165;2021-06-16 16:34:28.944000+02:00;;;Visitor;Decide individual or family ticket;;
1818;case_165;2021-06-16 16:34:31.115000+02:00;;;Visitor;Prepare family's information;;
1818;case_165;2021-06-16 16:34:32.810000+02:00;info_166;send;Visitor;Send information to the ZooClub department;;info
1818;case_165;2021-06-16 16:34:45.935000+02:00;;;Visitor;Wait for card;;
1818;case_165;2021-06-16 16:35:35.476000+02:00;card_167;receive;Visitor;Card received?;notification;card
1818;case_165;2021-06-16 16:35:36.971000+02:00;;;Visitor;Go home;;
1919;case_169;2021-06-16 16:35:38.837000+02:00;;;Visitor;Decide individual or family ticket;;
1919;case_169;2021-06-16 16:35:43.434000+02:00;;;Visitor;Prepare family's information;;
1919;case_169;2021-06-16 16:35:45.387000+02:00;info_170;send;Visitor;Send information to the ZooClub department;;info
1919;case_169;2021-06-16 16:35:59.177000+02:00;;;Visitor;Wait for card;;
1919;case_169;2021-06-16 16:36:41.385000+02:00;card_171;receive;Visitor;Card received?;notification;card
1919;case_169;2021-06-16 16:36:42.941000+02:00;;;Visitor;Go home;;
2020;case_17;2021-06-16 15:49:30.865000+02:00;;;Visitor;Decide individual or family ticket;;
2020;case_17;2021-06-16 15:49:33.662000+02:00;;;Visitor;Prepare family's information;;
2020;case_17;2021-06-16 15:49:34.348000+02:00;info_18;send;Visitor;Send information to the ZooClub department;;info
2020;case_17;2021-06-16 15:49:38.166000+02:00;;;Visitor;Wait for card;;
2020;case_17;2021-06-16 15:50:38.642000+02:00;card_19;receive;Visitor;Card received?;notification;card
2020;case_17;2021-06-16 15:50:41.581000+02:00;;;Visitor;Go home;;
2121;case_173;2021-06-16 16:36:47.398000+02:00;;;Visitor;Decide individual or family ticket;;
2121;case_173;2021-06-16 16:36:51.766000+02:00;;;Visitor;Prepare family's information;;
2121;case_173;2021-06-16 16:36:52.700000+02:00;info_174;send;Visitor;Send information to the ZooClub department;;info
2121;case_173;2021-06-16 16:36:58.721000+02:00;;;Visitor;Wait for card;;
2121;case_173;2021-06-16 16:38:04.198000+02:00;card_175;receive;Visitor;Card received?;notification;card
2121;case_173;2021-06-16 16:38:05.811000+02:00;;;Visitor;Go home;;
2222;case_177;2021-06-16 16:38:09.624000+02:00;;;Visitor;Decide individual or family ticket;;
2222;case_177;2021-06-16 16:38:09.743000+02:00;;;Visitor;Prepare personal information;;
2222;case_177;2021-06-16 16:38:14.430000+02:00;info_178;send;Visitor;Send information to the ZooClub department;;info
2222;case_177;2021-06-16 16:38:22.253000+02:00;;;Visitor;Wait for card;;
2222;case_177;2021-06-16 16:38:57.649000+02:00;card_179;receive;Visitor;Card received?;notification;card
2222;case_177;2021-06-16 16:39:05.151000+02:00;;;Visitor;Go home;;
2323;case_181;2021-06-16 16:39:06.318000+02:00;;;Visitor;Decide individual or family ticket;;
2323;case_181;2021-06-16 16:39:07.014000+02:00;;;Visitor;Prepare personal information;;
2323;case_181;2021-06-16 16:39:10.286000+02:00;info_182;send;Visitor;Send information to the ZooClub department;;info
2323;case_181;2021-06-16 16:39:35.584000+02:00;;;Visitor;Wait for card;;
2323;case_181;2021-06-16 16:40:27.195000+02:00;card_183;receive;Visitor;Card received?;notification;card
2323;case_181;2021-06-16 16:40:31.239000+02:00;;;Visitor;Go home;;
2424;case_185;2021-06-16 16:40:33.784000+02:00;;;Visitor;Decide individual or family ticket;;
2424;case_185;2021-06-16 16:40:34.338000+02:00;;;Visitor;Prepare family's information;;
2424;case_185;2021-06-16 16:40:38.567000+02:00;info_186;send;Visitor;Send information to the ZooClub department;;info
2424;case_185;2021-06-16 16:40:44.471000+02:00;;;Visitor;Wait for card;;
2424;case_185;2021-06-16 16:41:36.685000+02:00;card_187;receive;Visitor;Card received?;notification;card
2424;case_185;2021-06-16 16:41:40.777000+02:00;;;Visitor;Go home;;
2525;case_189;2021-06-16 16:41:43.279000+02:00;;;Visitor;Decide individual or family ticket;;
2525;case_189;2021-06-16 16:41:43.662000+02:00;;;Visitor;Prepare personal information;;
2525;case_189;2021-06-16 16:41:47.831000+02:00;info_190;send;Visitor;Send information to the ZooClub department;;info
2525;case_189;2021-06-16 16:41:56.762000+02:00;;;Visitor;Wait for card;;
2525;case_189;2021-06-16 16:42:42.515000+02:00;card_191;receive;Visitor;Card received?;notification;card
2525;case_189;2021-06-16 16:42:47.049000+02:00;;;Visitor;Go home;;
2626;case_193;2021-06-16 16:42:49.488000+02:00;;;Visitor;Decide individual or family ticket;;
2626;case_193;2021-06-16 16:42:53.134000+02:00;;;Visitor;Prepare personal information;;
2626;case_193;2021-06-16 16:42:54.954000+02:00;info_194;send;Visitor;Send information to the ZooClub department;;info
2626;case_193;2021-06-16 16:43:02.733000+02:00;;;Visitor;Wait for card;;
2626;case_193;2021-06-16 16:43:51.914000+02:00;card_195;receive;Visitor;Card received?;notification;card
2626;case_193;2021-06-16 16:43:52.167000+02:00;;;Visitor;Go home;;
2727;case_197;2021-06-16 16:43:54.071000+02:00;;;Visitor;Decide individual or family ticket;;
2727;case_197;2021-06-16 16:43:55.681000+02:00;;;Visitor;Prepare personal information;;
2727;case_197;2021-06-16 16:43:58.108000+02:00;info_198;send;Visitor;Send information to the ZooClub department;;info
2727;case_197;2021-06-16 16:44:02.547000+02:00;;;Visitor;Wait for card;;
2727;case_197;2021-06-16 16:44:39.760000+02:00;card_199;receive;Visitor;Card received?;notification;card
2727;case_197;2021-06-16 16:44:44.140000+02:00;;;Visitor;Go home;;
2828;case_201;2021-06-16 16:44:46.191000+02:00;;;Visitor;Decide individual or family ticket;;
2828;case_201;2021-06-16 16:44:46.621000+02:00;;;Visitor;Prepare family's information;;
2828;case_201;2021-06-16 16:44:49.446000+02:00;info_202;send;Visitor;Send information to the ZooClub department;;info
2828;case_201;2021-06-16 16:44:54.396000+02:00;;;Visitor;Wait for card;;
2828;case_201;2021-06-16 16:45:48.255000+02:00;card_203;receive;Visitor;Card received?;notification;card
2828;case_201;2021-06-16 16:45:52.079000+02:00;;;Visitor;Go home;;
2929;case_205;2021-06-16 16:45:53.331000+02:00;;;Visitor;Decide individual or family ticket;;
2929;case_205;2021-06-16 16:45:57.883000+02:00;;;Visitor;Prepare personal information;;
2929;case_205;2021-06-16 16:46:00.595000+02:00;info_206;send;Visitor;Send information to the ZooClub department;;info
2929;case_205;2021-06-16 16:46:09.970000+02:00;;;Visitor;Wait for card;;
2929;case_205;2021-06-16 16:46:43.709000+02:00;card_207;receive;Visitor;Card received?;notification;card
2929;case_205;2021-06-16 16:46:44.055000+02:00;;;Visitor;Go home;;
3030;case_209;2021-06-16 16:46:44.893000+02:00;;;Visitor;Decide individual or family ticket;;
3030;case_209;2021-06-16 16:46:46.990000+02:00;;;Visitor;Prepare family's information;;
3030;case_209;2021-06-16 16:46:51.882000+02:00;info_210;send;Visitor;Send information to the ZooClub department;;info
3030;case_209;2021-06-16 16:47:04.056000+02:00;;;Visitor;Wait for card;;
3030;case_209;2021-06-16 16:48:01.260000+02:00;card_211;receive;Visitor;Card received?;notification;card
3030;case_209;2021-06-16 16:48:09.166000+02:00;;;Visitor;Go home;;
3131;case_21;2021-06-16 15:50:44.269000+02:00;;;Visitor;Decide individual or family ticket;;
3131;case_21;2021-06-16 15:50:47.812000+02:00;;;Visitor;Prepare family's information;;
3131;case_21;2021-06-16 15:50:51.457000+02:00;info_22;send;Visitor;Send information to the ZooClub department;;info
3131;case_21;2021-06-16 15:51:17.181000+02:00;;;Visitor;Wait for card;;
3131;case_21;2021-06-16 15:51:54.702000+02:00;card_23;receive;Visitor;Card received?;notification;card
3131;case_21;2021-06-16 15:51:59.184000+02:00;;;Visitor;Go home;;
3232;case_213;2021-06-16 16:48:14.108000+02:00;;;Visitor;Decide individual or family ticket;;
3232;case_213;2021-06-16 16:48:14.677000+02:00;;;Visitor;Prepare family's information;;
3232;case_213;2021-06-16 16:48:15.502000+02:00;info_214;send;Visitor;Send information to the ZooClub department;;info
3232;case_213;2021-06-16 16:48:21.810000+02:00;;;Visitor;Wait for card;;
3232;case_213;2021-06-16 16:49:07.874000+02:00;card_215;receive;Visitor;Card received?;notification;card
3232;case_213;2021-06-16 16:49:16.048000+02:00;;;Visitor;Go home;;
3333;case_217;2021-06-16 16:49:21.026000+02:00;;;Visitor;Decide individual or family ticket;;
3333;case_217;2021-06-16 16:49:25.129000+02:00;;;Visitor;Prepare personal information;;
3333;case_217;2021-06-16 16:49:27.003000+02:00;info_218;send;Visitor;Send information to the ZooClub department;;info
3333;case_217;2021-06-16 16:49:32.254000+02:00;;;Visitor;Wait for card;;
3333;case_217;2021-06-16 16:50:35.239000+02:00;card_219;receive;Visitor;Card received?;notification;card
3333;case_217;2021-06-16 16:50:41.971000+02:00;;;Visitor;Go home;;
3434;case_221;2021-06-16 16:50:46.453000+02:00;;;Visitor;Decide individual or family ticket;;
3434;case_221;2021-06-16 16:50:48.983000+02:00;;;Visitor;Prepare personal information;;
3434;case_221;2021-06-16 16:50:51.159000+02:00;info_222;send;Visitor;Send information to the ZooClub department;;info
3434;case_221;2021-06-16 16:51:01.813000+02:00;;;Visitor;Wait for card;;
3434;case_221;2021-06-16 16:51:40.062000+02:00;card_223;receive;Visitor;Card received?;notification;card
3434;case_221;2021-06-16 16:51:43.589000+02:00;;;Visitor;Go home;;
3535;case_225;2021-06-16 16:51:46.199000+02:00;;;Visitor;Decide individual or family ticket;;
3535;case_225;2021-06-16 16:51:47.035000+02:00;;;Visitor;Prepare personal information;;
3535;case_225;2021-06-16 16:51:51.450000+02:00;info_226;send;Visitor;Send information to the ZooClub department;;info
3535;case_225;2021-06-16 16:52:02.371000+02:00;;;Visitor;Wait for card;;
3535;case_225;2021-06-16 16:52:49.651000+02:00;card_227;receive;Visitor;Card received?;notification;card
3535;case_225;2021-06-16 16:52:56.875000+02:00;;;Visitor;Go home;;
3636;case_229;2021-06-16 16:53:01.630000+02:00;;;Visitor;Decide individual or family ticket;;
3636;case_229;2021-06-16 16:53:04.817000+02:00;;;Visitor;Prepare family's information;;
3636;case_229;2021-06-16 16:53:07.680000+02:00;info_230;send;Visitor;Send information to the ZooClub department;;info
3636;case_229;2021-06-16 16:53:13.608000+02:00;;;Visitor;Wait for card;;
3636;case_229;2021-06-16 16:53:52.322000+02:00;card_231;receive;Visitor;Card received?;notification;card
3636;case_229;2021-06-16 16:54:01.163000+02:00;;;Visitor;Go home;;
3737;case_233;2021-06-16 16:54:03.860000+02:00;;;Visitor;Decide individual or family ticket;;
3737;case_233;2021-06-16 16:54:07.568000+02:00;;;Visitor;Prepare family's information;;
3737;case_233;2021-06-16 16:54:10.178000+02:00;info_234;send;Visitor;Send information to the ZooClub department;;info
3737;case_233;2021-06-16 16:54:14.422000+02:00;;;Visitor;Wait for card;;
3737;case_233;2021-06-16 16:54:46.630000+02:00;card_235;receive;Visitor;Card received?;notification;card
3737;case_233;2021-06-16 16:54:52.577000+02:00;;;Visitor;Go home;;
3838;case_237;2021-06-16 16:54:56.885000+02:00;;;Visitor;Decide individual or family ticket;;
3838;case_237;2021-06-16 16:55:01.146000+02:00;;;Visitor;Prepare personal information;;
3838;case_237;2021-06-16 16:55:03.584000+02:00;info_238;send;Visitor;Send information to the ZooClub department;;info
